Pokémon,Colonna1,Colonna2,Colonna3,Colonna4,Colonna5,Colonna6,Colonna7,Colonna8,Colonna9,Colonna10,Colonna11,Colonna12,Colonna13,Colonna14,Colonna15,Colonna16,Colonna17,Colonna18,Colonna19,Colonna20,Colonna21,Colonna22,Colonna23,Colonna24,Colonna25,Colonna26,Colonna27,Colonna28,Colonna29,Colonna30,Colonna31,Colonna32,Colonna33,Colonna34,Colonna35,Colonna36,Colonna37,Colonna38,Colonna39
Kabutops,Ancient Power,Mud Shot,Rock Smash,Stone Edge,Water Pulse,Waterfall,**Fury Cutter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerodactyl,Ancient Power,Bite,Earth Power,Hyper Beam,Iron Head,Rock Slide,Rock Throw,Steel Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snorlax,Body Slam,Earthquake,Heavy Slam,Hyper Beam,Lick,Outrage,Return,Skull Bash,Superpower,Zen Headbutt,* Yawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Articuno,Ancient Power,Blizzard,Frost Breath,Ice Beam,Ice Shard,Icy Wind,Return,* Hurricane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zapdos,Ancient Power,Charge Beam,Discharge,Drill Peck,Return,Thunder,Thunderbolt,Zap Cannon,* Thunder Shock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moltres,Ancient Power,Ember,Fire Blast,Fire Spin,Heat Wave,Overheat,Return,Wing Attack,* Sky Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dratini,Aqua Tail,Dragon Breath,Iron Tail,Return,Twister,Wrap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragonair,Aqua Tail,Dragon Breath,Dragon Pulse,Iron Tail,Return,Wrap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragonite,Dragon Breath,Dragon Claw,Dragon Tail,Hurricane,Hyper Beam,Outrage,Return,Steel Wing,* Draco Meteor,**Dragon Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mewtwo,Confusion,Flamethrower,Focus Blast,Ice Beam,Psychic,Psycho Cut,Thunderbolt,* Psystrike,* Shadow Ball,**Hyper Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mewtwo-Armored,Confusion,Dynamic Punch,Earthquake,Future Sight,Iron Tail,Rock Slide,* Psystrike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mew,Ancient Power,Blizzard,Bulldoze,Charge Beam,Cut,Dark Pulse,Dazzling Gleam,Dragon Claw,Dragon Tail,Energy Ball,Flame Charge,Flash Cannon,Focus Blast,Frost Breath,Grass Knot,Gyro Ball,Hyper Beam,Ice Beam,Infestation,Low Sweep,Overheat,Poison Jab,Pound,Psychic,Psyshock,Rock Slide,Rock Smash,Shadow Claw,Snarl,Solar Beam,Steel Wing,Stone Edge,Struggle Bug,Surf,Thunder,Thunderbolt,Volt Switch,Waterfall,Wild Charge
Chikorita,Body Slam,Energy Ball,Grass Knot,Tackle,Vine Whip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bayleef,Ancient Power,Energy Ball,Grass Knot,Razor Leaf,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meganium,Earthquake,Petal Blizzard,Razor Leaf,Solar Beam,Vine Whip,* Frenzy Plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyndaquil,Ember,Flame Charge,Flamethrower,Swift,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quilava,Dig,Ember,Flame Charge,Flamethrower,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Typhlosion,Ember,Fire Blast,Incinerate,Overheat,Shadow Claw,Solar Beam,* Blast Burn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totodile,Aqua Jet,Crunch,Scratch,Water Gun,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croconaw,Crunch,Ice Punch,Scratch,Water Gun,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feraligatr,Bite,Crunch,Hydro Pump,Ice Beam,Ice Fang,Waterfall,* Hydro Cannon,**Water Gun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sentret,Brick Break,Dig,Grass Knot,Quick Attack,Scratch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Furret,Brick Break,Dig,Hyper Beam,Quick Attack,Sucker Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoothoot,Aerial Ace,Feint Attack,Night Shade,Peck,Sky Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noctowl,Extrasensory,Night Shade,Psychic,Shadow Ball,Sky Attack,Wing Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ledyba,Aerial Ace,Bug Bite,Silver Wind,Swift,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ledian,Aerial Ace,Bug Bite,Bug Buzz,Silver Wind,Struggle Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spinarak,Bug Bite,Cross Poison,Night Slash,Poison Sting,Signal Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ariados,Cross Poison,Infestation,Lunge,Megahorn,Poison Sting,Shadow Sneak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crobat,Air Cutter,Air Slash,Bite,Cross Poison,Poison Fang,Return,Shadow Ball,Sludge Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinchou,Bubble,Bubble Beam,Spark,Thunderbolt,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lanturn,Charge Beam,Hydro Pump,Spark,Thunder,Thunderbolt,Water Gun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichu,Disarming Voice,Thunder Punch,Thunder Shock,Thunderbolt,✝ Quick Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleffa,Grass Knot,Pound,Psyshock,Signal Beam,Zen Headbutt,**Body Slam,**Psychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Igglybuff,Feint Attack,Pound,Psychic,Shadow Ball,Wild Charge,**Body Slam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Togepi,Ancient Power,Dazzling Gleam,Hidden Power,Peck,Psyshock,**Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Togetic,Aerial Ace,Ancient Power,Dazzling Gleam,Extrasensory,Hidden Power,**Steel Wing,**Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natu,Drill Peck,Night Shade,Peck,Psyshock,Quick Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xatu,Aerial Ace,Air Slash,Feint Attack,Future Sight,Ominous Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mareep,Body Slam,Discharge,Return,Tackle,Thunder Shock,Thunderbolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flaaffy,Charge Beam,Discharge,Power Gem,Return,Tackle,Thunderbolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ampharos,Charge Beam,Focus Blast,Power Gem,Return,Thunder,Thunder Punch,Volt Switch,Zap Cannon,* Dragon Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellossom,Acid,Bullet Seed,Dazzling Gleam,Leaf Blade,Petal Blizzard,Razor Leaf,Return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marill,Aqua Tail,Body Slam,Bubble,Bubble Beam,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azumarill,Bubble,Hydro Pump,Ice Beam,Play Rough,Rock Smash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sudowoodo,Counter,Earthquake,Rock Slide,Rock Throw,Rock Tomb,Stone Edge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Politoed,Blizzard,Bubble,Hydro Pump,Mud Shot,Return,Surf,Weather Ball (Water),**Earthquake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoppip,Bullet Seed,Dazzling Gleam,Grass Knot,Seed Bomb,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skiploom,Bullet Seed,Dazzling Gleam,Energy Ball,Grass Knot,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jumpluff,Aerial Ace,Bullet Seed,Dazzling Gleam,Energy Ball,Infestation,Solar Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aipom,Aerial Ace,Astonish,Low Sweep,Scratch,Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunkern,Cut,Energy Ball,Grass Knot,Razor Leaf,Seed Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunflora,Bullet Seed,Leaf Storm,Petal Blizzard,Razor Leaf,Sludge Bomb,Solar Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yanma,Aerial Ace,Ancient Power,Quick Attack,Silver Wind,Wing Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wooper,Body Slam,Dig,Mud Bomb,Mud Shot,Water Gun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quagsire,Acid Spray,Earthquake,Mud Shot,Sludge Bomb,Stone Edge,Water Gun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Espeon,Confusion,Future Sight,Psybeam,Psychic,Zen Headbutt,* Last Resort,* Shadow Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Umbreon,Dark Pulse,Feint Attack,Foul Play,Snarl,* Last Resort,* Psychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murkrow,Dark Pulse,Drill Peck,Feint Attack,Foul Play,Peck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slowking,Blizzard,Confusion,Fire Blast,Psychic,Water Gun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Misdreavus,Astonish,Dark Pulse,Hex,Ominous Wind,Shadow Sneak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unown,Hidden Power,Struggle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wobbuffet,Charm,Counter,Mirror Coat,Return,Splash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Girafarig,Confusion,Mirror Coat,Psychic,Tackle,Thunderbolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pineco,Bug Bite,Gyro Ball,Rock Tomb,Sand Tomb,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forretress,Bug Bite,Earthquake,Heavy Slam,Mirror Shot,Rock Tomb,Sand Tomb,Struggle Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dunsparce,Astonish,Bite,Dig,Drill Run,Rock Slide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gligar,Aerial Ace,Dig,Fury Cutter,Night Slash,Wing Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steelix,Crunch,Dragon Tail,Earthquake,Heavy Slam,Iron Tail,Thunder Fang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snubbull,Bite,Brick Break,Crunch,Dazzling Gleam,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Granbull,Bite,Charm,Close Combat,Crunch,Play Rough,Snarl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwilfish,Acid Spray,Aqua Tail,Fell Stinger,Ice Beam,Poison Sting,Sludge Wave,Water Gun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scizor,Bullet Punch,Fury Cutter,Iron Head,Night Slash,Return,X-Scissor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shuckle,Gyro Ball,Rock Blast,Rock Throw,Stone Edge,Struggle Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heracross,Close Combat,Counter,Earthquake,Megahorn,Rock Blast,Struggle Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sneasel,Avalanche,Feint Attack,Foul Play,Ice Punch,Ice Shard,Return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teddiursa,Cross Chop,Crunch,Lick,Play Rough,Scratch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ursaring,Close Combat,Counter,Hyper Beam,Metal Claw,Play Rough,Shadow Claw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slugma,Ember,Flame Burst,Flame Charge,Rock Slide,Rock Throw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magcargo,Ember,Heat Wave,Incinerate,Overheat,Rock Throw,Rock Tomb,Stone Edge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swinub,Body Slam,Icy Wind,Powder Snow,Rock Slide,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piloswine,Avalanche,Bulldoze,Ice Shard,Powder Snow,Stone Edge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corsola,Bubble,Bubble Beam,Power Gem,Rock Blast,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remoraid,Aurora Beam,Mud Shot,Rock Blast,Water Gun,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Octillery,Acid Spray,Aurora Beam,Gunk Shot,Lock-On,Mud Shot,Octazooka,Water Gun,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delibird,Aerial Ace,Ice Punch,Ice Shard,Icy Wind,Present,Quick Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mantine,Aerial Ace,Bubble,Bubble Beam,Bullet Seed,Ice Beam,Water Pulse,Wing Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skarmory,Air Slash,Brave Bird,Flash Cannon,Sky Attack,Steel Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Houndour,Crunch,Dark Pulse,Ember,Feint Attack,Flamethrower,Return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Houndoom,Crunch,Fire Blast,Fire Fang,Flamethrower,Foul Play,Return,Snarl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kingdra,Blizzard,Dragon Breath,Hydro Pump,Octazooka,Outrage,Waterfall,**Water Gun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phanpy,Body Slam,Bulldoze,Rock Slide,Rock Smash,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donphan,Body Slam,Charm,Counter,Earthquake,Heavy Slam,Mud Slap,Play Rough,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porygon2,Charge Beam,Hidden Power,Hyper Beam,Lock-On,Return,Solar Beam,Tri Attack,Zap Cannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stantler,Megahorn,Stomp,Tackle,Wild Charge,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smeargle,Struggle,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyrogue,Brick Break,Low Sweep,Rock Slide,Rock Smash,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hitmontop,Close Combat,Counter,Gyro Ball,Rock Smash,Stone Edge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smoochum,Ice Beam,Ice Punch,Pound,Powder Snow,Psyshock,**Frost Breath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elekid,Brick Break,Discharge,Low Kick,Thunder Punch,Thunder Shock,**Thunderbolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magby,Brick Break,Ember,Fire Punch,Flame Burst,Karate Chop,**Flamethrower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miltank,Body Slam,Gyro Ball,Ice Beam,Stomp,Tackle,Thunderbolt,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blissey,Dazzling Gleam,Hyper Beam,Pound,Psychic,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raikou,Return,Shadow Ball,Thunder,Thunder Shock,Thunderbolt,Volt Switch,Wild Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Entei,Fire Blast,Fire Fang,Fire Spin,Flame Charge,Flamethrower,Iron Head,Overheat,Return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suicune,Bubble Beam,Extrasensory,Hydro Pump,Ice Beam,Ice Fang,Snarl,Water Pulse,**Hidden Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larvitar,Ancient Power,Bite,Crunch,Return,Rock Smash,Stomp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pupitar,Ancient Power,Bite,Crunch,Dig,Return,Rock Smash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyranitar,Bite,Crunch,Fire Blast,Iron Tail,Return,Stone Edge,* Smack Down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lugia,Dragon Tail,Extrasensory,Future Sight,Hydro Pump,Sky Attack,* Aeroblast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ho-Oh,Brave Bird,Extrasensory,Fire Blast,Hidden Power,Incinerate,Solar Beam,Steel Wing,* Earthquake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Celebi,Charge Beam,Confusion,Dazzling Gleam,Leaf Storm,Hyper Beam,Psychic,Seed Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Treecko,Aerial Ace,Bullet Seed,Energy Ball,Grass Knot,Pound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grovyle,Aerial Ace,Bullet Seed,Grass Knot,Leaf Blade,Quick Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sceptile,Aerial Ace,Bullet Seed,Dragon Claw,Earthquake,Fury Cutter,Leaf Blade,* Frenzy Plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torchic,Ember,Flame Charge,Flamethrower,Rock Tomb,Scratch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Combusken,Ember,Flame Charge,Flamethrower,Peck,Rock Slide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaziken,Blaze Kick,Brave Bird,Counter,Fire Spin,Focus Blast,Overheat,* Blast Burn,**Stone Edge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mudkip,Dig,Return,Sludge,Stomp,Tackle,Water Gun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshtomp,Mud Bomb,Mud Shot,Return,Sludge,Surf,Water Gun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swampert,Earthquake,Mud Shot,Muddy Water,Return,Sludge Wave,Surf,Water Gun,* Hydro Cannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poochyena,Crunch,Dig,Poison Fang,Snarl,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mightyena,Bite,Crunch,Fire Fang,Ice Fang,Play Rough,Poison Fang,Thunder Fang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zigzagoon,Dig,Grass Knot,Rock Smash,Tackle,Thunderbolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zigzagoon-Galar,Body Slam,Dig,Swift,Tackle,Take Down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linoone,Dig,Grass Knot,Shadow Claw,Tackle,Thunder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linoone-Galar,Body Slam,Dig,Gunk Shot,Lick,Snarl,✝ Grass Knot,✝ Shadow Claw,✝ Tackle,✝ Thunder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wurmple,Bug Bite,Struggle,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silcoon,Bug Bite,Poison Sting,Struggle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beautifly,Air Cutter,Bug Buzz,Infestation,Silver Wind,Struggle Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cascoon,Bug Bite,Poison Sting,Struggle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dustox,Bug Buzz,Confusion,Silver Wind,Sludge Bomb,Struggle Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lotad,Bubble Beam,Energy Ball,Razor Leaf,Water Gun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lombre,Bubble,Bubble Beam,Grass Knot,Ice Beam,Razor Leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ludicolo,Blizzard,Bubble,Energy Ball,Hydro Pump,Ice Beam,Leaf Storm,Razor Leaf,Solar Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seedot,Bullet Seed,Energy Ball,Foul Play,Grass Knot,Quick Attack,Return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nuzleaf,Feint Attack,Foul Play,Grass Knot,Leaf Blade,Razor Leaf,Return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shiftry,Feint Attack,Foul Play,Hurricane,Leaf Blade,Leaf Tornado,Razor Leaf,Return,Snarl,* Bullet Seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taillow,Aerial Ace,Peck,Quick Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swellow,Aerial Ace,Brave Bird,Sky Attack,Steel Wing,Wing Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wingull,Air Cutter,Ice Beam,Quick Attack,Water Gun,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pelipper,Blizzard,Hurricane,Hydro Pump,Water Gun,Weather Ball (Water),Wing Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ralts,Charge Beam,Confusion,Disarming Voice,Psyshock,Return,Shadow Sneak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kirlia,Charge Beam,Confusion,Disarming Voice,Psychic,Return,Shadow Sneak,* Draining Kiss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gardevoir,Charge Beam,Charm,Confusion,Dazzling Gleam,Psychic,Return,Shadow Ball,* Synchronoise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surskit,Aqua Jet,Bubble,Bubble Beam,Bug Bite,Signal Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masquerain,Air Cutter,Air Slash,Bubble Beam,Infestation,Lunge,Ominous Wind,Silver Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shroomish,Bullet Seed,Energy Ball,Grass Knot,Seed Bomb,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breloom,Bullet Seed,Counter,Dynamic Punch,Seed Bomb,Sludge Bomb,* Grass Knot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slakoth,Body Slam,Brick Break,Night Slash,Yawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vigoroth,Body Slam,Brick Break,Bulldoze,Counter,Scratch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slaking,Earthquake,Hyper Beam,Play Rough,Yawn,* Body Slam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nincada,Aerial Ace,Bug Bite,Bug Buzz,Night Slash,Scratch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ninjask,Aerial Ace,Bug Buzz,Fury Cutter,Metal Claw,Shadow Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shedinja,Aerial Ace,Bug Bite,Dig,Shadow Claw,Shadow Sneak,**Struggle Bug,✝ Bite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whismur,Astonish,Disarming Voice,Flamethrower,Pound,Stomp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loudred,Bite,Disarming Voice,Flamethrower,Rock Smash,Stomp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exploud,Astonish,Bite,Crunch,Disarming Voice,Fire Blast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exploud,Astonish,Bite,Crunch,Disarming Voice,Fire Blast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makuhita,Cross Chop,Heavy Slam,Low Sweep,Rock Smash,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makuhita,Cross Chop,Heavy Slam,Low Sweep,Rock Smash,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hariyama,Bullet Punch,Close Combat,Counter,Dynamic Punch,Heavy Slam,Superpower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hariyama,Bullet Punch,Close Combat,Counter,Dynamic Punch,Heavy Slam,Superpower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azurill,Body Slam,Bubble,Bubble Beam,Ice Beam,Splash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azurill,Body Slam,Bubble,Bubble Beam,Ice Beam,Splash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nosepass,Rock Blast,Rock Slide,Rock Throw,Spark,Thunderbolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nosepass,Rock Blast,Rock Slide,Rock Throw,Spark,Thunderbolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skitty,Dig,Disarming Voice,Feint Attack,Tackle,Wild Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delcatty,Charm,Disarming Voice,Feint Attack,Play Rough,Wild Charge,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sableye,Feint Attack,Foul Play,Power Gem,Return,Shadow Claw,Shadow Sneak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mawile,Astonish,Bite,Fire Fang,Ice Fang,Iron Head,Play Rough,Power-Up Punch,Vise Grip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aron,Body Slam,Iron Head,Metal Claw,Rock Tomb,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lairon,Body Slam,Heavy Slam,Iron Tail,Metal Claw,Rock Slide,Rock Tomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aggron,Dragon Tail,Heavy Slam,Iron Tail,Rock Tomb,Smack Down,Stone Edge,Thunder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meditite,Confusion,Ice Punch,Low Sweep,Psyshock,Rock Smash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
